group;week;zscore
0to14;2020-38;0.33
0to14;2020-39;0.52
0to14;2020-40;-1.71
0to14;2020-41;-0.42
0to14;2020-42;-2.64
0to14;2020-43;-0.72
0to14;2020-44;-2.55
0to14;2020-45;0.02
0to14;2020-46;-1.01
0to14;2020-47;-1.48
0to14;2020-48;-1.45
0to14;2020-49;-0.09
0to14;2020-50;-0.94
0to14;2020-51;-0.34
0to14;2020-52;-1.31
0to14;2020-53;-0.34
0to14;2021-01;-1.63
0to14;2021-02;-1.5
0to14;2021-03;-1.4
0to14;2021-04;0.25
0to14;2021-05;-1.02
0to14;2021-06;-0.26
0to14;2021-07;-1.08
0to14;2021-08;-1.98
0to14;2021-09;1.36
0to14;2021-10;-1.81
0to14;2021-11;0.51
0to14;2021-12;-0.45
0to14;2021-13;0.38
0to14;2021-14;-2.13
0to14;2021-15;-0.26
0to14;2021-16;-1.44
0to14;2021-17;0.49
0to14;2021-18;-0.08
0to14;2021-19;0.48
0to14;2021-20;0.2
0to14;2021-21;-0.79
0to14;2021-22;0.97
0to14;2021-23;0.57
0to14;2021-24;0.49
0to14;2021-25;0.88
0to14;2021-26;1.58
0to14;2021-27;0.93
0to14;2021-28;0.86
0to14;2021-29;0.8
0to14;2021-30;1.64
0to14;2021-31;0.83
0to14;2021-32;1.17
0to14;2021-33;-0.16
0to14;2021-34;0.21
0to14;2021-35;0.29
0to14;2021-36;0.3
0to14;2021-37;0.42
0to14;2021-38;1.52
0to14;2021-39;2.15
0to14;2021-40;1.43
0to14;2021-41;0.57
0to14;2021-42;1.39
0to14;2021-43;1.78
0to14;2021-44;1.8
0to14;2021-45;0.83
0to14;2021-46;-0.92
15to44;2016-48;1.12
15to44;2016-49;2.52
15to44;2016-50;0.68
15to44;2016-51;-0.21
15to44;2016-52;2.76
15to44;2017-01;1.38
15to44;2017-02;1.11
15to44;2017-03;0.98
15to44;2017-04;1.47
15to44;2017-05;0.74
15to44;2017-06;0.46
15to44;2017-07;1.04
15to44;2017-08;1.16
15to44;2017-09;-1.47
15to44;2017-10;-1.71
15to44;2017-11;-1.15
15to44;2017-12;-0.63
15to44;2017-13;-0.31
15to44;2017-14;-2
15to44;2017-15;-1.03
15to44;2017-16;-2.3
15to44;2017-17;0.92
15to44;2017-18;0.48
15to44;2017-19;0.84
15to44;2017-20;-0.68
15to44;2017-21;1.4
15to44;2017-22;-0.75
15to44;2017-23;-0.81
15to44;2017-24;0.87
15to44;2017-25;1.39
15to44;2017-26;-0.25
15to44;2017-27;0.94
15to44;2017-28;-0.64
15to44;2017-29;-0.35
15to44;2017-30;1.4
15to44;2017-31;1.33
15to44;2017-32;1.1
15to44;2017-33;-0.41
15to44;2017-34;0.58
15to44;2017-35;-0.77
15to44;2017-36;-0.42
15to44;2017-37;-2.01
15to44;2017-38;1.51
15to44;2017-39;0.72
15to44;2017-40;-0.25
15to44;2017-41;-0.76
15to44;2017-42;-0.43
15to44;2017-43;-0.23
15to44;2017-44;0.42
15to44;2017-45;-1.08
15to44;2017-46;0.02
15to44;2017-47;-0.02
15to44;2017-48;0.25
15to44;2017-49;1.39
15to44;2017-50;1.46
15to44;2017-51;0.6
15to44;2017-52;2.51
15to44;2018-01;3.68
15to44;2018-02;1.74
15to44;2018-03;0.66
15to44;2018-04;1.4
15to44;2018-05;-0.49
15to44;2018-06;2.29
15to44;2018-07;2.24
15to44;2018-08;-0.39
15to44;2018-09;3.2
15to44;2018-10;2.41
15to44;2018-11;1.23
15to44;2018-12;0.46
15to44;2018-13;0.69
15to44;2018-14;0.75
15to44;2018-15;0.14
15to44;2018-16;0.68
15to44;2018-17;-1.12
15to44;2018-18;2.08
15to44;2018-19;1.74
15to44;2018-20;0.36
15to44;2018-21;0.73
15to44;2018-22;-0.51
15to44;2018-23;1.44
15to44;2018-24;-1.23
15to44;2018-25;-0.62
15to44;2018-26;1.46
15to44;2018-27;0.97
15to44;2018-28;3.37
15to44;2018-29;1.42
15to44;2018-30;2.07
15to44;2018-31;3.77
15to44;2018-32;2.13
15to44;2018-33;0.97
15to44;2018-34;0.62
15to44;2018-35;0.08
15to44;2018-36;0.39
15to44;2018-37;0
15to44;2018-38;-0.5
15to44;2018-39;-0.5
15to44;2018-40;-0.35
15to44;2018-41;3.62
15to44;2018-42;-0.55
15to44;2018-43;-0.42
15to44;2018-44;0.3
15to44;2018-45;-0.02
15to44;2018-46;-0.85
15to44;2018-47;-0.64
15to44;2018-48;-0.52
15to44;2018-49;0.64
15to44;2018-50;0.78
15to44;2018-51;1.3
15to44;2018-52;0.01
15to44;2019-01;2.68
15to44;2019-02;2.99
15to44;2019-03;1.35
15to44;2019-04;0.42
15to44;2019-05;1.14
15to44;2019-06;1.89
15to44;2019-07;1.85
15to44;2019-08;0.69
15to44;2019-09;-0.98
15to44;2019-10;1.37
15to44;2019-11;-1.2
15to44;2019-12;-1.1
