Variante;Datum;Anteil [%];Gruppenzuordnung
XBB.1.16;2023-06-21;0.2;XBB.x
XBB.1.16;2023-06-28;0.218;XBB.x
XBB.1.16;2023-07-05;0.197;XBB.x
XBB.1.16;2023-07-12;0.244;XBB.x
XBB.1.16;2023-07-19;0.17;XBB.x
XBB.1.16;2023-07-26;0.144;XBB.x
XBB.1.16;2023-08-02;0.17;XBB.x
XBB.1.16;2023-08-09;0.14;XBB.x
XBB.1.16;2023-08-16;0.151;XBB.x
XBB.1.16;2023-08-23;0.122;XBB.x
XBB.1.16;2023-08-30;0.121;XBB.x
XBB.1.16;2023-09-06;0.146;XBB.x
XBB.1.16;2023-09-13;0.138;XBB.x
XBB.1.16;2023-09-20;0.147;XBB.x
XBB.1.16;2023-09-27;0.126;XBB.x
XBB.1.16;2023-10-04;0.123;XBB.x
XBB.1.16;2023-10-11;0.128;XBB.x
XBB.1.16;2023-10-18;0.116;XBB.x
XBB.1.16;2023-10-25;0.113;XBB.x
XBB.1.16;2023-11-01;0.132;XBB.x
XBB.1.16;2023-11-08;0.146;XBB.x
XBB.1.16;2023-11-15;0.121;XBB.x
XBB.1.16;2023-11-22;0.099;XBB.x
XBB.1.16;2023-11-29;0.093;XBB.x
XBB.1.16;2023-12-06;0.086;XBB.x
XBB.1.16;2023-12-13;0.079;XBB.x
XBB.1.16;2023-12-20;0.09;XBB.x
XBB.1.16;2023-12-27;0.063;XBB.x
XBB.1.16;2024-01-03;0.064;XBB.x
XBB.1.16;2024-01-10;0.055;XBB.x
XBB.1.16;2024-01-17;0.033;XBB.x
XBB.1.16;2024-01-24;0.0;XBB.x
XBB.1.16;2024-01-31;0.001;XBB.x
XBB.1.16;2024-02-07;0.0;XBB.x
XBB.1.16;2024-02-14;0.0;XBB.x
XBB.1.16;2024-02-21;0.0;XBB.x
XBB.1.16;2024-02-28;0.0;XBB.x
XBB.1.16;2024-03-06;0.0;XBB.x
XBB.1.16;2024-03-13;0.0;XBB.x
XBB.1.16;2024-03-20;0.0;XBB.x
XBB.1.16;2024-03-27;0.0;XBB.x
XBB.1.16;2024-04-03;0.0;XBB.x
XBB.1.16;2024-04-10;0.0;XBB.x
XBB.1.16;2024-04-17;0.0;XBB.x
XBB.1;2022-09-21;0.0;XBB.x
XBB.1;2022-09-28;0.0;XBB.x
XBB.1;2022-10-05;0.0;XBB.x
XBB.1;2022-10-12;0.0;XBB.x
XBB.1;2022-10-19;0.0;XBB.x
XBB.1;2022-10-26;0.0;XBB.x
XBB.1;2022-11-02;0.0;XBB.x
XBB.1;2022-11-09;0.0;XBB.x
XBB.1;2022-11-16;0.0;XBB.x
XBB.1;2022-11-23;0.0;XBB.x
XBB.1;2022-11-30;0.0;XBB.x
XBB.1;2022-12-07;0.0;XBB.x
XBB.1;2022-12-14;0.0;XBB.x
XBB.1;2022-12-21;0.0;XBB.x
XBB.1;2022-12-28;0.002;XBB.x
XBB.1;2023-01-04;0.013;XBB.x
XBB.1;2023-01-11;0.015;XBB.x
XBB.1;2023-01-18;0.015;XBB.x
XBB.1;2023-01-25;0.048;XBB.x
XBB.1;2023-02-01;0.019;XBB.x
XBB.1;2023-02-08;0.023;XBB.x
XBB.1;2023-02-15;0.062;XBB.x
XBB.1;2023-02-22;0.116;XBB.x
XBB.1;2023-03-01;0.083;XBB.x
XBB.1;2023-03-08;0.122;XBB.x
XBB.1;2023-03-15;0.091;XBB.x
