Datum;gemittelte kumulierte Faelle der letzten 7 Tage aus den Humantestungen;Gesamtvirenfracht [Genkopien pro Tag * 10^6]
2024-01-16;;970000000
2024-01-17;;939296000
2024-01-18;;878960000
2024-01-21;;695696000
2024-01-22;;694336000
2024-01-23;;714624000
2024-01-24;;675056000
2024-01-25;;631776000
2024-01-28;;497712000
2024-01-29;;461152000
2024-01-30;;423184000
2024-01-31;;421616000
2024-02-01;;418496000
2024-02-04;;406608000
2024-02-05;;350064000
2024-02-06;;289296000
2024-02-07;;280544000
2024-02-08;;282624000
2024-02-11;;288720000
2024-02-12;;248176000
2024-02-13;;213984000
2024-02-14;;213248000
2024-02-15;;209808000
2024-02-18;;197520000
2024-02-19;;179392000
2024-02-20;;157696000
2024-02-21;;153344000
2024-02-22;;154016000
2024-02-25;;156080000
2024-02-26;;129568000
2024-02-27;;104144000
2024-02-28;;108192000
2024-02-29;;108128000
2024-03-03;;108352000
2024-03-04;;91568000
2024-03-05;;81760000
2024-03-06;;89056000
2024-03-07;;91008000
2024-03-10;;97056000
2024-03-11;;85296000
2024-03-12;;79680000
2024-03-13;;83248000
2024-03-14;;82048000
2024-03-17;;78736000
2024-03-18;;124480000
2024-03-19;;170544000
2024-03-20;;151536000
2024-03-21;;134512000
2024-03-24;;83488000
2024-03-25;;79984000
2024-03-26;;78368000
2024-03-27;;76880000
2024-03-28;;74160000
2024-03-31;;66176000
2024-04-01;;87680000
2024-04-02;;109728000
2024-04-03;;98368000
2024-04-04;;85392000
2024-04-07;;46448000
2024-04-08;;58544000
2024-04-09;;70400000
2024-04-10;;69856000
2024-04-11;;70656000
2024-04-14;;73440000
2024-04-15;;87600000
2024-04-16;;102576000
2024-04-17;;103936000
2024-04-18;;103872000
2024-04-21;;104656000
2024-04-22;;112576000
2024-04-23;;121872000
2024-04-24;;128816000
2024-04-25;;139664000
2024-04-28;;173376000
2024-04-29;;163024000
2024-04-30;;150416000
2024-05-01;;154576000
2024-05-02;;156704000
2024-05-05;;162848000
2024-05-06;;168560000
2024-05-07;;180112000
2024-05-09;;174496000
2024-05-12;;166992000
2024-05-13;;185184000
2024-05-14;;200512000
2024-05-15;;195680000
2024-05-16;;186944000
2024-05-19;;159456000
2024-05-20;;166640000
2024-05-21;;174880000
2024-05-22;;182560000
2024-05-23;;192656000
2024-05-26;;223856000
2024-05-27;;221392000
2024-05-28;;217024000
2024-05-30;;240080000
2024-06-02;;275776000
2024-06-03;;263424000
2024-06-04;;261488000
2024-06-05;;290944000
2024-06-06;;310592000
2024-06-09;;367056000
2024-06-10;;374576000
2024-06-11;;380016000
2024-06-12;;394592000
2024-06-13;;425680000
2024-06-16;;520000000
2024-06-17;;502928000
2024-06-18;;484304000
2024-06-19;;507072000
2024-06-20;;509312000
2024-06-23;;515744000
2024-06-24;;594960000
2024-06-25;;680448000
2024-06-26;;682368000
2024-06-27;;664400000
2024-06-30;;611200000
2024-07-01;;673232000
2024-07-02;;755600000
2024-07-03;;803792000
2024-07-04;;820656000
2024-07-07;;871904000
2024-07-08;;767648000
2024-07-09;;680832000
2024-07-10;;672400000
2024-07-11;;662128000
2024-07-14;;632272000
2024-07-15;;685360000
2024-07-16;;769344000
2024-07-17;;755664000
2024-07-18;;701904000
2024-07-21;;536912000
2024-07-22;;532560000
2024-07-23;;533648000
2024-07-24;;564352000
2024-07-25;;600752000
2024-07-28;;711552000
2024-07-29;;542624000
2024-07-30;;383232000
2024-07-31;;465968000
2024-08-01;;540224000
2024-08-04;;758336000
2024-08-05;;781824000
2024-08-06;;826544000
2024-08-07;;789584000
2024-08-08;;733856000
2024-08-11;;569680000
2024-08-12;;696928000
2024-08-13;;833440000
2024-08-14;;828336000
2024-08-15;;823584000
2024-08-18;;809744000
2024-08-19;;909104000
2024-08-20;;1003776000
2024-08-21;;1005744000
2024-08-22;;1015552000
2024-08-25;;1047504000
2024-08-26;;1019392000
2024-08-27;;987504000
2024-08-28;;969024000
2024-08-29;;952368000
2024-09-01;;896336000
2024-09-02;;961424000
2024-09-03;;1021568000
2024-09-04;;
