KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;SONSTIGE;AUFNAHMEN
44. KW 2023;KTN;N;80;0;0;93;163
44. KW 2023;NÖ;I;10;0;0;11;15
44. KW 2023;NÖ;N;189;0;0;144;316
44. KW 2023;OÖ;I;4;0;0;11;14
44. KW 2023;OÖ;N;180;1;0;174;339
44. KW 2023;SBG;I;1;0;0;4;4
44. KW 2023;SBG;N;48;0;2;50;96
44. KW 2023;ST;I;5;0;0;12;17
44. KW 2023;ST;N;154;0;1;161;303
44. KW 2023;T;I;5;0;0;4;8
44. KW 2023;T;N;74;2;0;98;166
44. KW 2023;V;I;2;0;0;8;8
44. KW 2023;V;N;32;0;2;66;98
44. KW 2023;W;I;5;0;0;8;13
44. KW 2023;W;N;107;1;2;147;241
45. KW 2023;BGL;I;2;0;0;2;3
45. KW 2023;BGL;N;43;1;0;27;69
45. KW 2023;KTN;I;1;0;0;2;3
45. KW 2023;KTN;N;69;0;0;97;160
45. KW 2023;NÖ;I;7;0;0;6;12
45. KW 2023;NÖ;N;183;3;0;156;320
45. KW 2023;OÖ;I;7;0;0;8;15
45. KW 2023;OÖ;N;160;1;1;191;338
45. KW 2023;SBG;I;3;0;0;7;10
45. KW 2023;SBG;N;52;0;0;61;111
45. KW 2023;ST;I;9;0;0;10;19
45. KW 2023;ST;N;143;3;3;143;281
45. KW 2023;T;I;5;0;0;10;14
45. KW 2023;T;N;88;0;0;89;169
45. KW 2023;V;I;2;0;0;2;4
45. KW 2023;V;N;29;1;0;56;80
45. KW 2023;W;I;7;0;0;9;15
45. KW 2023;W;N;116;2;0;140;244
46. KW 2023;BGL;I;2;0;0;1;2
46. KW 2023;BGL;N;54;0;0;44;92
46. KW 2023;KTN;I;2;0;0;2;4
46. KW 2023;KTN;N;107;0;0;85;183
46. KW 2023;NÖ;I;3;0;0;6;9
46. KW 2023;NÖ;N;229;2;0;148;344
46. KW 2023;OÖ;I;10;0;0;8;16
46. KW 2023;OÖ;N;211;1;0;164;360
46. KW 2023;SBG;I;1;0;1;2;4
46. KW 2023;SBG;N;73;0;1;51;118
46. KW 2023;ST;I;8;0;0;12;20
46. KW 2023;ST;N;187;7;4;181;360
46. KW 2023;T;I;3;0;0;8;9
46. KW 2023;T;N;90;0;3;101;189
46. KW 2023;V;I;2;0;0;3;5
46. KW 2023;V;N;37;0;1;47;80
46. KW 2023;W;I;8;0;0;16;23
46. KW 2023;W;N;150;3;3;176;316
47. KW 2023;BGL;I;4;0;0;3;5
47. KW 2023;BGL;N;65;0;0;43;105
47. KW 2023;KTN;I;0;0;0;6;6
47. KW 2023;KTN;N;132;1;0;85;203
47. KW 2023;NÖ;I;8;0;0;4;12
47. KW 2023;NÖ;N;229;2;2;159;370
47. KW 2023;OÖ;I;7;0;0;9;14
47. KW 2023;OÖ;N;250;0;3;195;429
47. KW 2023;SBG;I;1;0;0;7;8
47. KW 2023;SBG;N;75;0;3;87;147
47. KW 2023;ST;I;13;2;1;15;27
47. KW 2023;ST;N;233;9;2;183;415
47. KW 2023;T;I;1;0;0;7;8
47. KW 2023;T;N;104;1;3;86;184
47. KW 2023;V;I;1;0;0;5;6
47. KW 2023;V;N;44;2;3;57;99
47. KW 2023;W;I;14;0;0;9;22
47. KW 2023;W;N;173;5;3;151;314
48. KW 2023;BGL;I;2;0;0;4;6
48. KW 2023;BGL;N;66;1;1;35;97
48. KW 2023;KTN;I;4;0;1;7;10
48. KW 2023;KTN;N;104;2;1;70;166
48. KW 2023;NÖ;I;13;0;0;10;20
48. KW 2023;NÖ;N;222;12;5;154;364
48. KW 2023;OÖ;I;12;0;0;16;26
48. KW 2023;OÖ;N;278;4;5;171;433
48. KW 2023;SBG;I;8;0;2;8;17
48. KW 2023;SBG;N;92;1;0;72;150
48. KW 2023;ST;I;10;0;0;5;14
48. KW 2023;ST;N;252;10;3;210;449
48. KW 2023;T;I;4;0;0;13;15
48. KW 2023;T;N;115;0;2;129;231
48. KW 2023;V;I;4;0;0;3;5
48. KW 2023;V;N;53;1;9;52;110
48. KW 2023;W;I;15;1;0;15;30
48. KW 2023;W;N;216;11;7;170;381
49. KW 2023;BGL;I;0;0;0;3;3
49. KW 2023;BGL;N;90;0;1;40;118
49. KW 2023;KTN;I;3;0;0;6;8
49. KW 2023;KTN;N;116;4;4;90;194
49. KW 2023;NÖ;I;12;0;0;6;17
49. KW 2023;NÖ;N;266;11;8;165;410
49. KW 2023;OÖ;I;11;1;0;11;20
49. KW 2023;OÖ;N;284;5;6;198;465
49. KW 2023;SBG;I;4;2;0;7;12
49. KW 2023;SBG;N;116;1;6;62;175
49. KW 2023;ST;I;11;1;0;9;20
49. KW 2023;ST;N;255;16;2;206;451
49. KW 2023;T;I;1;0;2;12;14
49. KW 2023;T;N;112;2;2;128;230
49. KW 2023;V;I;2;0;0;3;5
49. KW 2023;V;N;65;3;7;68;131
49. KW 2023;W;I;8;3;0;8;16
49. KW 2023;W;N;198;23;15;180;389
50. KW 2023;BGL;I;3;0;0;1;4
50. KW 2023;BGL;N;72;3;0;38;102
50. KW 2023;KTN;I;2;0;0;2;4
50. KW 2023;KTN;N;104;11;6;119;215
50. KW 2023;NÖ;I;9;0;0;15;22
50. KW 2023;NÖ;N;251;10;6;163;395
50. KW 2023;OÖ;I;9;0;0;7;16
50. KW 2023;OÖ;N;294;16;11;220;502
50. KW 2023;SBG;I;4;1;2;12;18
50. KW 2023;SBG;N;100;4;11;70;174
50. KW 2023;ST;I;12;0;0;9;20
50. KW 2023;ST;N;243;17;12;237;481
50. KW 2023;T;I;9;0;0;8;14
50. KW 2023;T;N;133;6;12;118;257
50. KW 2023;V;I;2;0;0;4;5
50. KW 2023;V;N;60;2;16;63;125
50. KW 2023;W;I;10;0;1;22;32
50. KW 2023;W;N;244;32;21;202;463
51. KW 2023;BGL;I;2;0;0;1;3
51. KW 2023;BGL;N;54;5;2;51;105
51. KW 2023;KTN;I;3;0;1;7;11
51. KW 2023;KTN;N;106;22;11;93;216
51. KW 2023;NÖ;I;5;4;0;4;13
51. KW 2023;NÖ;N;247;23;9;165;409
51. KW 2023;OÖ;I;12;1;0;9;20
51. KW 2023;OÖ;N;259;33;22;233;494
51. KW 2023;SBG;I;8;1;0;8;15
51. KW 2023;SBG;N;102;6;4;83;178
51. KW 2023;ST;I;7;1;0;14;20
51. KW 2023;ST;N;237;8;11;257;490
