JAHR;KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
2023;38;BGL;I;0;0;0;0;2;2
2023;38;BGL;N;14;0;0;1;39;53
2023;38;KTN;I;0;0;0;0;3;3
2023;38;KTN;N;25;0;0;1;70;95
2023;38;NÖ;I;3;0;0;1;5;9
2023;38;NÖ;N;67;2;0;2;142;207
2023;38;OÖ;I;1;0;0;0;9;9
2023;38;OÖ;N;55;0;0;0;146;198
2023;38;SBG;I;3;0;0;0;3;5
2023;38;SBG;N;22;0;0;1;41;63
2023;38;ST;I;7;0;0;0;14;19
2023;38;ST;N;42;1;0;0;144;181
2023;38;T;I;1;0;0;0;2;3
2023;38;T;N;26;0;0;4;97;125
2023;38;V;I;1;0;0;0;1;2
2023;38;V;N;10;0;0;3;45;54
2023;38;W;I;4;0;0;0;6;10
2023;38;W;N;74;2;0;1;152;220
2023;39;BGL;I;2;0;0;0;2;3
2023;39;BGL;N;19;0;0;0;22;39
2023;39;KTN;I;1;0;0;1;3;5
2023;39;KTN;N;33;1;0;4;94;125
2023;39;NÖ;I;3;0;0;1;4;7
2023;39;NÖ;N;55;0;0;0;125;174
2023;39;OÖ;I;4;0;0;1;10;15
2023;39;OÖ;N;74;0;1;4;154;222
2023;39;SBG;I;0;0;0;1;4;5
2023;39;SBG;N;42;0;0;3;56;95
2023;39;ST;I;3;0;0;0;7;10
2023;39;ST;N;74;0;0;2;168;238
2023;39;T;I;0;0;0;1;11;12
2023;39;T;N;43;1;1;2;95;138
2023;39;V;I;0;0;0;0;1;1
2023;39;V;N;10;0;0;2;40;51
2023;39;W;I;5;0;0;1;13;17
2023;39;W;N;65;3;2;3;151;220
2023;40;BGL;I;1;0;0;0;2;3
2023;40;BGL;N;22;0;0;0;28;43
2023;40;KTN;I;0;0;0;1;5;6
2023;40;KTN;N;31;0;0;3;91;122
2023;40;NÖ;I;2;0;0;0;6;7
2023;40;NÖ;N;83;1;0;4;138;214
2023;40;OÖ;I;7;0;0;1;5;11
2023;40;OÖ;N;89;0;0;4;164;248
2023;40;SBG;I;3;0;0;0;3;5
2023;40;SBG;N;45;0;0;2;67;107
2023;40;ST;I;6;0;0;1;9;15
2023;40;ST;N;71;0;1;0;153;221
2023;40;T;I;0;0;0;0;10;10
2023;40;T;N;59;0;1;4;101;158
2023;40;V;I;2;0;0;0;2;4
2023;40;V;N;18;0;0;2;47;65
2023;40;W;I;4;0;0;0;19;22
2023;40;W;N;78;1;1;2;151;227
2023;41;BGL;I;2;0;0;0;1;3
2023;41;BGL;N;17;0;1;0;37;50
2023;41;KTN;I;0;0;0;1;4;5
2023;41;KTN;N;40;0;0;2;73;113
2023;41;NÖ;I;1;0;0;0;4;5
2023;41;NÖ;N;104;0;0;1;148;244
2023;41;OÖ;I;4;0;0;0;10;14
2023;41;OÖ;N;129;0;2;5;158;284
2023;41;SBG;I;0;0;0;0;4;4
2023;41;SBG;N;41;0;0;0;53;93
2023;41;ST;I;8;0;0;2;16;23
2023;41;ST;N;96;0;0;1;172;259
2023;41;T;I;0;0;0;0;3;3
2023;41;T;N;62;0;0;1;102;158
2023;41;V;I;1;0;0;0;5;6
2023;41;V;N;7;0;0;2;53;62
2023;41;W;I;3;0;0;2;6;11
2023;41;W;N;100;1;0;2;167;257
2023;42;BGL;I;0;0;0;0;0;0
2023;42;BGL;N;28;0;0;2;36;60
2023;42;KTN;I;0;0;0;0;3;3
2023;42;KTN;N;55;0;0;1;102;152
2023;42;NÖ;I;1;0;0;0;7;8
2023;42;NÖ;N;129;0;0;2;174;285
2023;42;OÖ;I;3;2;0;0;14;17
2023;42;OÖ;N;140;1;0;2;184;315
2023;42;SBG;I;5;0;0;0;3;8
2023;42;SBG;N;39;0;1;4;61;100
2023;42;ST;I;6;0;0;1;12;19
2023;42;ST;N;84;1;1;3;161;237
2023;42;T;I;2;0;0;0;4;6
2023;42;T;N;93;1;0;2;120;196
2023;42;V;I;0;0;0;0;1;1
2023;42;V;N;24;1;0;0;37;59
2023;42;W;I;2;0;0;2;9;13
2023;42;W;N;111;1;0;1;157;257
2023;43;BGL;I;2;0;0;0;1;3
2023;43;BGL;N;25;0;0;1;31;52
